Адрес,Дальность от метро,Метро,Название,Описание,Ссылка,Стоимость,Стоимость за метр
"Москва, ЗАО, р-н Дорогомилово, м. Киевская, 1-й Можайский тупик, 8АС1",6 минут пешком,Киевская,"2-комн. апартаменты, 41,19 м², 3/14 этаж",Секция 1 • Сдача корпуса 2 кв. 2026,https://www.cian.ru/sale/flat/309757898/,43 249 500 ₽,1 050 000 ₽/м²
"Москва, НАО (Новомосковский), м. Рассказовка, Внуковское поселение, улица Анны Ахматовой, 11к1",5 минут пешком,Рассказовка,"2-комн. квартира, 59,61 м², 4/23 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/298346442/,16 300 000 ₽,273 444 ₽/м²
"Москва, ЗАО, р-н Можайский, м. Рабочий посёлок, улица Гришина, 18К1",5 минут пешком,Рабочий посёлок,Идеальная двушка для семьи!,"2-комн. квартира, 61 м², 4/5 этаж",https://www.cian.ru/sale/flat/310693934/,20 900 000 ₽,342 623 ₽/м²
"Москва, ЦАО, р-н Якиманка, м. Полянка, Старомонетный переулок, 19/11С1",6 минут пешком,Полянка,"2-комн. квартира, 158,4 м², 4/5 этаж",Сдан,https://www.cian.ru/sale/flat/310686576/,586 080 000 ₽,3 700 000 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, 1-й Красногвардейский проезд, 22с2",4 минуты пешком,Москва-Сити,Квартира с характером,"2-комн. апартаменты, 61,2 м², 24/79 этаж",https://www.cian.ru/sale/flat/309676186/,58 000 000 ₽,947 712 ₽/м²
"Москва, ЗАО, р-н Можайский, м. Рабочий посёлок, улица Гришина, 18К1",5 минут пешком,Рабочий посёлок,Идеальная двушка для семьи!,"2-комн. квартира, 61 м², 4/5 этаж",https://www.cian.ru/sale/flat/310693934/,20 900 000 ₽,342 623 ₽/м²
"Москва, ЦАО, р-н Хамовники, м. Киевская, переулок 1-й Тружеников, 12",13 минут пешком,Киевская,Клубный дом de luxe класса,"2-комн. квартира, 147,05 м², 2/14 этаж",https://www.cian.ru/sale/flat/297997312/,396 593 850 ₽,2 697 000 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Поклонная, улица Братьев Фонченко",11 минут пешком,Парк Победы,Привлекательная цена!,"2-комн. квартира, 66 м², 5/13 этаж",https://www.cian.ru/sale/flat/309200944/,75 000 000 ₽,1 136 364 ₽/м²
"Москва, ЦАО, р-н Мещанский, м. Трубная, Рождественский бульвар, 17",6 минут пешком,Трубная,Тишина и спокойствие!,"2-комн. квартира, 76,4 м², 4/5 этаж",https://www.cian.ru/sale/flat/310454568/,48 000 000 ₽,628 272 ₽/м²
"Москва, ВАО, р-н Соколиная гора, м. Соколиная гора, 1-й Кирпичный переулок, 17",20 минут пешком,Семёновская,Просторная 2-к. кв. в 1 км от ЦАО,"2-комн. квартира, 54,5 м², 2/25 этаж • Секция 4",https://www.cian.ru/sale/flat/310459264/,18 391 890 ₽,337 466 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Пушкинская, Малая Бронная улица, 26С1",10 минут пешком,Пушкинская,Эксклюзивно на Патриках,"2-комн. апартаменты, 137 м², 4/4 этаж",https://www.cian.ru/sale/flat/309244270/,248 553 749 ₽,1 814 261 ₽/м²
"Москва, ЮЗАО, р-н Коньково, м. Беляево, улица Генерала Антонова, 5К1",8 минут пешком,Беляево,Топ предложение покупки квартиры!,"2-комн. квартира, 45,1 м², 2/9 этаж",https://www.cian.ru/sale/flat/307856294/,13 400 000 ₽,297 118 ₽/м²
"Москва, САО, р-н Савеловский, м. Гражданская, Старый Петровско-Разумовский проезд, 1/23С5",16 минут пешком,Петровский Парк,"Рассрочка 0%. 2-к. кв., 62.8 м2","2-комн. квартира, 62,8 м², 2/19 этаж • Секция 5",https://www.cian.ru/sale/flat/307196116/,26 242 362 ₽,417 872 ₽/м²
"Москва, НАО (Новомосковский), м. Новомосковская, пос. Коммунарка, улица Фитаревская, 21",13 минут пешком,Новомосковская,"2-комн. квартира, 56,1 м², 2/26 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308700025/,13 499 000 ₽,240 624 ₽/м²
"Москва, СЗАО, р-н Покровское-Стрешнево, м. Балтийская, Ленинградское шоссе, 23к1",17 минут пешком,Войковская,В самом сердце парка!,"2-комн. апартаменты, 107,8 м², 3/3 этаж",https://www.cian.ru/sale/flat/300133660/,75 000 000 ₽,695 733 ₽/м²
"Москва, ЦАО, р-н Хамовники, м. Спортивная, 531-й кв-л, Дом 22 ЖК",12 минут пешком,Спортивная,"2-комн. квартира, 88 м², 3/9 этаж",Секция 4 • Сдача корпуса 4 кв. 2026,https://www.cian.ru/sale/flat/308968775/,146 748 800 ₽,1 667 600 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Поклонная, улица Братьев Фонченко, вл3",9 минут пешком,Парк Победы,Квартира в премиальном ЖК,"2-комн. квартира, 67,4 м², 4/11 этаж",https://www.cian.ru/sale/flat/305910950/,72 000 000 ₽,1 068 249 ₽/м²
"Москва, ВАО, р-н Соколиная гора, м. Семёновская, Вольная улица, 3",12 минут пешком,Семёновская,"2-комн. квартира, 44,3 м², 4/5 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308428445/,16 490 000 ₽,372 235 ₽/м²
"Москва, ЮЗАО, р-н Гагаринский, м. Ленинский проспект, Ленинский проспект, 38Ак1",14 минут пешком,Ленинский проспект,Квартира с рассрочкой 0%,"2-комн. квартира, 88,1 м², 4/17 этаж • Секция 1",https://www.cian.ru/sale/flat/305627324/,48 895 500 ₽,555 000 ₽/м²
"Москва, ЮЗАО, р-н Черемушки, м. Новые Черёмушки, улица Гарибальди, 27К1",10 минут пешком,Профсоюзная,"2-комн. квартира, 43,4 м², 2/5 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310662167/,21 000 000 ₽,483 871 ₽/м²
"Москва, САО, р-н Ховрино, м. Ховрино, улица Дыбенко, 38к1",2 минуты пешком,Ховрино,"2-комн. квартира, 79,1 м², 31/40 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/307089602/,30 500 000 ₽,385 588 ₽/м²
"Москва, САО, р-н Беговой, м. Белорусская, улица 1-я Ямского Поля, 28С3",7 минут пешком,Белорусская,"2-комн. апартаменты, 75,3 м², 3/21 этаж",Секция 1 • Сдача корпуса 4 кв. 2024,https://www.cian.ru/sale/flat/303476998/,42 829 999 ₽,568 791 ₽/м²
"Москва, ЮЗАО, р-н Обручевский, м. Новаторская, Ленинский проспект, 95Б",2 минуты пешком,Новаторская,"2-комн. квартира, 60 м², 25/33 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310917740/,27 300 000 ₽,455 000 ₽/м²
"Москва, ВАО, р-н Ивановское, м. Новогиреево, шоссе Энтузиастов, 98К4",5 минут на транспорте,Новогиреево,Квартира в зеленом районе!,"2-комн. квартира, 46 м², 8/9 этаж",https://www.cian.ru/sale/flat/309920400/,10 850 000 ₽,235 870 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Ломоносовский проспект, проспект Генерала Дорохова, 39к2Л",5 минут на транспорте,Минская,"2-комн. квартира, 66,9 м², 9/14 этаж",Секция 1 • Сдан,https://www.cian.ru/sale/flat/308620026/,41 160 000 ₽,615 247 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Фили, Кутузовский проезд, 16А/1",6 минут на транспорте,Фили,Просторная видовая двушка,"2-комн. квартира, 51 м², 13/47 этаж",https://www.cian.ru/sale/flat/308498116/,32 950 000 ₽,646 078 ₽/м²
"Москва, ЦАО, р-н Хамовники, м. Смоленская, Ружейный переулок, 3",18 минут пешком,Парк Культуры,"2-комн. квартира, 90 м², 9/10 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/303149151/,79 990 000 ₽,888 778 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Белорусская, улица Пресненский Вал, 27С6",8 минут пешком,Белорусская,"2-комн. квартира, 63,26 м², 26/33 этаж",Секция 2 • Сдача корпуса 4 кв. 2027,https://www.cian.ru/sale/flat/305605298/,33 692 908 ₽,532 610 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, 1-й Красногвардейский проезд, 22с2",4 минуты пешком,Москва-Сити,Дизайнерский ремонт,"2-комн. апартаменты, 60 м², 40/68 этаж",https://www.cian.ru/sale/flat/308877560/,49 900 000 ₽,831 667 ₽/м²
"Москва, НАО (Новомосковский), м. Корниловская, № 123 кв-л",8 минут на транспорте,Корниловская,"2-комн. квартира, 50,9 м², 3/17 этаж",Секция 1 • Сдача корпуса 2 кв. 2026,https://www.cian.ru/sale/flat/305952760/,11 960 000 ₽,234 971 ₽/м²
"Москва, ЮАО, р-н Даниловский, м. Тульская, улица Серпуховский Вал",6 минут пешком,Тульская,"2-комн. апартаменты, 46,8 м², 2/16 этаж",Секция 1 • Сдача корпуса 4 кв. 2024,https://www.cian.ru/sale/flat/302722354/,24 943 792 ₽,532 987 ₽/м²
"Москва, ЦАО, р-н Тверской, м. Пушкинская, Козицкий переулок, 1А",3 минуты пешком,Пушкинская,Индивидуальный дизайн-проект!,"2-комн. квартира, 54,5 м², 2/6 этаж",https://www.cian.ru/sale/flat/310168495/,54 840 000 ₽,1 006 239 ₽/м²
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к3",7 минут пешком,Динамо,Готовая уютная евродвушка ! Топ!,"2-комн. квартира, 62,2 м², 10/15 этаж",https://www.cian.ru/sale/flat/310041544/,38 999 999 ₽,627 010 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Парк Победы, проезд 4-й Сетуньский, 10Ас2",17 минут пешком,Парк Победы,Квартира премиум-класса в ЗАО,"2-комн. квартира, 62,2 м², 3/34 этаж • Секция Башня 2",https://www.cian.ru/sale/flat/304841949/,40 243 400 ₽,647 000 ₽/м²
"Москва, САО, р-н Хорошевский, м. Хорошёвская, Хорошевское шоссе, 25Ак3",9 минут пешком,Полежаевская,"2-комн. квартира, 70 м², 19/24 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308179072/,42 000 000 ₽,600 000 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Поклонная, Воробьевское шоссе, 4",10 минут на транспорте,Кутузовская,Эстетика минимализма,"2-комн. апартаменты, 73,5 м², 10/13 этаж",https://www.cian.ru/sale/flat/305915966/,69 000 000 ₽,938 776 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Шелепиха, Шмитовский проезд, 39к5",10 минут пешком,Шелепиха,"2-комн. квартира, 66,47 м², 32/41 этаж",Секция 1 • Сдача корпуса 4 кв. 2024,https://www.cian.ru/sale/flat/304746713/,33 035 590 ₽,497 000 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Поклонная, Воробьевское шоссе, 4",5 минут на транспорте,Поклонная,"2-комн. апартаменты, 68,9 м², 4/13 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308413458/,95 000 000 ₽,1 378 810 ₽/м²
"Москва, ЮВАО, р-н Печатники, м. Угрешская, Южнопортовая улица",6 минут на транспорте,Кожуховская,"2-комн. квартира, 70,5 м², 8/22 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/299638719/,27 250 000 ₽,386 525 ₽/м²
"Москва, ЗАО, р-н Очаково-Матвеевское, м. Давыдково, Аминьевское шоссе, 6",12 минут пешком,Давыдково,"2-комн. апартаменты, 47,9 м², 14/21 этаж",Секция 1 • Сдан,https://www.cian.ru/sale/flat/310738209/,Информация отсутствует,441 222 ₽/м²
"Москва, ЦАО, р-н Хамовники, м. Смоленская, Ружейный переулок, 3",18 минут пешком,Парк Культуры,"2-комн. квартира, 90 м², 9/10 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/303149151/,79 990 000 ₽,888 778 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Поклонная, улица Братьев Фонченко, вл3",6 минут на транспорте,Кутузовская,Срочная продажа!!!,"2-комн. квартира, 65 м², 5/11 этаж",https://www.cian.ru/sale/flat/306656209/,68 000 000 ₽,1 046 154 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Народное Ополчение, улица Генерала Глаголева",5 минут на транспорте,Народное Ополчение,"2-комн. квартира, 47,9 м², 22/28 этаж",Секция 1 • Сдача корпуса 4 кв. 2026,https://www.cian.ru/sale/flat/305474557/,22 081 900 ₽,461 000 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Деловой центр, 1-й Красногвардейский проезд, 22",5 минут пешком,Москва-Сити,Дизайнерский ремонт,"2-комн. апартаменты, 123 м², 43/73 этаж",https://www.cian.ru/sale/flat/294457758/,149 000 000 ₽,1 211 382 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Деловой центр, 1-й Красногвардейский проезд, 22",5 минут пешком,Москва-Сити,Новый дизайнерский ремонт,"2-комн. апартаменты, 111 м², 62/77 этаж",https://www.cian.ru/sale/flat/280116651/,149 000 000 ₽,1 342 342 ₽/м²
"Москва, ЦАО, р-н Красносельский, м. Красные ворота, проспект Академика Сахарова, 7",7 минут пешком,Красные ворота,Дом в центре Москвы на Садовом,"2-комн. апартаменты, 52,9 м², 13/19 этаж • Секция 1",https://www.cian.ru/sale/flat/286250328/,47 610 000 ₽,900 000 ₽/м²
"Москва, ЗАО, р-н Можайский, м. Сетунь, Сколковское шоссе, 40к2",9 минут на транспорте,Кунцевская,"2к дизайн-ремонт, вид на юг, двор","2-комн. квартира, 40 м², 4/14 этаж",https://www.cian.ru/sale/flat/310745319/,21 450 000 ₽,536 250 ₽/м²
"Москва, ЗАО, р-н Очаково-Матвеевское, м. Давыдково, Аминьевское шоссе, 6",12 минут пешком,Давыдково,"эксклюзивный дизайн, новый ремонт","2-комн. апартаменты, 50 м², 5/24 этаж",https://www.cian.ru/sale/flat/310385726/,26 990 000 ₽,539 800 ₽/м²
"Москва, ЮАО, р-н Чертаново Южное, м. Аннино, Варшавские Ворота ЖК, 1.1",4 минуты пешком,Аннино,Рассрочка 0% на апартаменты,"2-комн. апартаменты, 54,3 м², 2/9 этаж • Секция 4",https://www.cian.ru/sale/flat/307274474/,11 887 465 ₽,218 922 ₽/м²
"Москва, ЦАО, р-н Басманный, м. Курская, улица Земляной Вал, 21/2С1",4 минуты пешком,Курская,Самая выгодная цена в районе!,"2-комн. квартира, 65 м², 7/9 этаж",https://www.cian.ru/sale/flat/310433013/,36 000 000 ₽,553 846 ₽/м²
"Москва, ЦАО, р-н Красносельский, м. Площадь трёх вокзалов, Большая Спасская улица, 35",9 минут пешком,Комсомольская,Срочная продажа,"2-комн. квартира, 55,7 м², 22/22 этаж",https://www.cian.ru/sale/flat/304965476/,39 500 000 ₽,709 156 ₽/м²
"Москва, ЦАО, р-н Замоскворечье, м. Новокузнецкая, Большая Татарская улица, 35С7-9",12 минут пешком,Новокузнецкая,"2-комн. квартира, 72,5 м², 2/23 этаж",Секция 2 • Сдача корпуса 1 кв. 2028,https://www.cian.ru/sale/flat/309478628/,92 662 250 ₽,1 278 100 ₽/м²
"Москва, ЗАО, р-н Ново-Переделкино, м. Новопеределкино, Новопеределкинская улица, 11",9 минут пешком,Новопеределкино,Новый дизайнерскй ремонт.,"2-комн. квартира, 53 м², 2/14 этаж",https://www.cian.ru/sale/flat/310479757/,16 550 000 ₽,312 264 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Кутузовская, 1-й Сетуньский проезд, 8",18 минут пешком,Кутузовская,Шикарный вид на Москва Сити!,"2-комн. квартира, 47 м², 12/41 этаж",https://www.cian.ru/sale/flat/309010129/,29 500 000 ₽,627 660 ₽/м²
"Москва, ЗАО, р-н Крылатское, м. Молодёжная, Крылатская улица, 23",6 минут на транспорте,Крылатское,Старт продаж,"2-комн. квартира, 65,91 м², 4/27 этаж",https://www.cian.ru/sale/flat/305603331/,45 468 000 ₽,689 850 ₽/м²
"Москва, ЗАО, р-н Филевский парк, м. Парк Победы, улица Василисы Кожиной, 13",14 минут пешком,Парк Победы,Дизайнерский ремонт в Матч поинте,"2-комн. квартира, 71 м², 12/13 этаж",https://www.cian.ru/sale/flat/305629349/,48 000 000 ₽,676 056 ₽/м²
"Москва, СВАО, р-н Марфино, м. Владыкино, Ботаническая улица, 29Ак3",17 минут пешком,Владыкино,Живи в гармонии с природой!,"2-комн. квартира, 71 м², 4/31 этаж",https://www.cian.ru/sale/flat/308794411/,31 100 000 ₽,438 028 ₽/м²
"Москва, ЮВАО, р-н Нижегородский, м. Калитники, Автомобильный проезд, 4",17 минут пешком,Волгоградский проспект,"2-комн. апартаменты, 47,74 м², 8/21 этаж",Секция Корпус №2 • Сдача корпуса 4 кв. 2024,https://www.cian.ru/sale/flat/310432151/,12 037 163 ₽,252 140 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Раменки, Мосфильмовская улица, 88к4с2",11 минут пешком,Раменки,В зелёном районе,"2-комн. квартира, 73,5 м², 20/21 этаж",https://www.cian.ru/sale/flat/305317343/,47 400 000 ₽,644 898 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Кутузовская, Хайд ЖК, Уэстдейл корпус, к1",18 минут пешком,Кутузовская,Шикарный вид на парк и МГУ,"2-комн. квартира, 54 м², 11/41 этаж",https://www.cian.ru/sale/flat/310744648/,31 500 000 ₽,583 333 ₽/м²
"Москва, СВАО, р-н Северный, м. Новодачная, Новодачная улица, 67/68",6 минут пешком,Новодачная,"2-комн. апартаменты, 44,4 м², 3/20 этаж",Секция секция 2 • Сдан,https://www.cian.ru/sale/flat/286886016/,11 854 800 ₽,267 000 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Парк Победы, улица Генерала Ермолова, 4",1 минута пешком,Парк Победы,Видовая квартира,"2-комн. квартира, 60 м², 9/11 этаж",https://www.cian.ru/sale/flat/310608335/,37 000 000 ₽,616 667 ₽/м²
"Москва, НАО (Новомосковский), м. Потапово, № 174 кв-л, Новые Смыслы ЖК",5 минут на транспорте,Бунинская аллея,"2-комн. квартира, 53,2 м², 2/30 этаж",Секция 1 • Сдача корпуса 4 кв. 2027,https://www.cian.ru/sale/flat/308688047/,12 502 000 ₽,235 000 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Баррикадная, Вспольный переулок, 16С2",10 минут пешком,Баррикадная,"2-комн. квартира, 53 м², 9/9 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310485742/,39 900 000 ₽,752 830 ₽/м²
"Москва, СВАО, р-н Бутырский, м. Бутырская, Огородный проезд",6 минут пешком,Бутырская,"2-комн. квартира, 58,66 м², 6/46 этаж",Секция 3 • Сдача корпуса 2 кв. 2027,https://www.cian.ru/sale/flat/305101588/,27 866 463 ₽,475 051 ₽/м²
"Москва, ЦАО, р-н Тверской, м. Маяковская, 2-я Брестская улица, 6",5 минут пешком,Маяковская,Лучшая инвестиция на Тверской,"2-комн. апартаменты, 78,6 м², 10/12 этаж",https://www.cian.ru/sale/flat/308888845/,43 800 000 ₽,557 252 ₽/м²
"Москва, СЗАО, р-н Щукино, м. Стрешнево, 1-й Красногорский проезд",5 минут пешком,Стрешнево,"2-комн. квартира, 63,3 м², 22/30 этаж",Секция 1 • Сдача корпуса 1 кв. 2027,https://www.cian.ru/sale/flat/308009026/,22 731 030 ₽,359 100 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Минская, проспект Генерала Дорохова, 39к2И",15 минут пешком,Минская,Виды на парк и воду. Новый ремонт,"2-комн. апартаменты, 47 м², 10/14 этаж",https://www.cian.ru/sale/flat/310714193/,45 000 000 ₽,957 447 ₽/м²
"Москва, ВАО, р-н Преображенское, м. Преображенская площадь, Потешная улица",17 минут пешком,Преображенская площадь,"2-комн. апартаменты, 35,32 м², 2/20 этаж",Сдача корпуса 2 кв. 2026,https://www.cian.ru/sale/flat/304955152/,12 362 000 ₽,350 000 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Поклонная, Поклонная улица, 9",17 минут пешком,Парк Победы,Апартамент с отделкой,"2-комн. апартаменты, 64,4 м², 10/34 этаж",https://www.cian.ru/sale/flat/305912494/,51 000 000 ₽,791 925 ₽/м²
"Москва, ВАО, р-н Соколиная гора, м. Соколиная гора, улица 8-я Соколиной Горы, 26",4 минуты пешком,Соколиная гора,"2-комн. квартира, 41 м², 3/17 этаж",Секция Корпус Б • Сдача корпуса 2 кв. 2027,https://www.cian.ru/sale/flat/309403148/,15 485 700 ₽,377 700 ₽/м²
"Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Комсомольский проспект, 9А",7 минут пешком,Парк Культуры,Уникальный лофт в Хамовниках,"2-комн. апартаменты, 62,8 м², 6/6 этаж",https://www.cian.ru/sale/flat/310093612/,59 000 000 ₽,939 490 ₽/м²
"Москва, НАО (Новомосковский), м. Филатов Луг, № 82 кв-л, Новое Летово ЖК, к1",7 минут на транспорте,Филатов Луг,"2-комн. квартира, 58,9 м², 2/7 этаж",Секция 6 • Сдача корпуса 2 кв. 2025,https://www.cian.ru/sale/flat/310684748/,15 632 060 ₽,265 400 ₽/м²
"Москва, ЦАО, р-н Якиманка, м. Кропоткинская, улица Серафимовича, 2",12 минут пешком,Кропоткинская,"2-комн. квартира, 60 м², 10/12 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/307225676/,60 000 000 ₽,1 000 000 ₽/м²
"Москва, ЮВАО, р-н Нижегородский, м. Нижегородская, Левел Нижегородская ЖК, 1",10 минут пешком,Нижегородская,"2-комн. квартира, 37 м², 40/45 этаж",Секция 1 • Сдача корпуса 4 кв. 2026,https://www.cian.ru/sale/flat/310308496/,14 098 289 ₽,381 035 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Поклонная, Поклонная улица, 9",17 минут пешком,Парк Победы,Панорамные окна и живописные виды,"2-комн. апартаменты, 102,6 м², 19/34 этаж",https://www.cian.ru/sale/flat/310470593/,150 000 000 ₽,1 461 988 ₽/м²
"Москва, ЮВАО, р-н Нижегородский, м. Нижегородская, Квартал Издание ЖК",18 минут пешком,Нижегородская,"2-комн. квартира, 59,5 м², 25/29 этаж",Секция 5 • Сдача корпуса 3 кв. 2027,https://www.cian.ru/sale/flat/305428003/,19 900 000 ₽,334 454 ₽/м²
"Москва, СВАО, р-н Алексеевский, м. Алексеевская, Староалексеевская улица, 5А",10 минут пешком,Алексеевская,"2-комн. квартира, 50 м², 9/27 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310743079/,26 699 000 ₽,533 980 ₽/м²
"Москва, ЮЗАО, р-н Ясенево, м. Тёплый Стан, Новоясеневский проспект, 3В",10 минут пешком,Тёплый Стан,"2-комн. апартаменты, 69,2 м², 11/14 этаж",Секция 2 • Сдан,https://www.cian.ru/sale/flat/297413640/,20 490 120 ₽,296 100 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Терехово , улица Нижние Мневники, 16к3",5 минут на транспорте,Терехово ,Срочная продажа,"2-комн. квартира, 62,7 м², 2/23 этаж",https://www.cian.ru/sale/flat/307850573/,28 500 000 ₽,454 545 ₽/м²
"Москва, НАО (Новомосковский), м. Прокшино, пос. Коммунарка, Новая Звезда ЖК",6 минут на транспорте,Новомосковская,"2-комн. квартира, 47,7 м², 15/22 этаж",Секция 1 • Сдача корпуса 2 кв. 2027,https://www.cian.ru/sale/flat/306784458/,12 688 200 ₽,266 000 ₽/м²
"Москва, ЗАО, р-н Филевский парк, м. Фили, Фили Сити ЖК",5 минут пешком,Фили,"2-комн. квартира, 58,17 м², 29/57 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/304045862/,31 500 000 ₽,541 516 ₽/м²
"Москва, ЮЗАО, р-н Черемушки, м. Новые Черёмушки, улица Наметкина, вл10",11 минут пешком,Новые Черёмушки,"2-комн. апартаменты, 42,1 м², 2/29 этаж",Сдача корпуса 2 кв. 2026,https://www.cian.ru/sale/flat/310644090/,14 061 400 ₽,334 000 ₽/м²
"Москва, ЦАО, р-н Тверской, м. Маяковская, Благовещенский переулок, 5",2 минуты пешком,Маяковская,Идеальная локация,"2-комн. квартира, 63 м², 4/8 этаж",https://www.cian.ru/sale/flat/296403571/,38 500 000 ₽,611 111 ₽/м²
"Москва, НАО (Новомосковский), м. Мичуринец, Переделкино Ближнее мкр, 18-й кв-л",12 минут пешком,Мичуринец,"2-комн. квартира, 50,8 м², 7/17 этаж",Секция 2 • Сдача корпуса 2 кв. 2026,https://www.cian.ru/sale/flat/305331201/,13 523 634 ₽,266 213 ₽/м²
"Москва, ЮАО, р-н Царицыно, м. Царицыно, Бакинская улица, 7",10 минут пешком,Царицыно,Евротрешка с гардеробной!,"2-комн. квартира, 47 м², 11/12 этаж",https://www.cian.ru/sale/flat/310686443/,15 500 000 ₽,329 787 ₽/м²
"Москва, НАО (Новомосковский), м. Прокшино, Прокшино ЖК, к11.1.2",4 минуты на транспорте,Прокшино,"2-комн. квартира, 34,4 м², 4/16 этаж",Секция 11 • Сдача корпуса 3 кв. 2025,https://www.cian.ru/sale/flat/310896449/,10 817 218 ₽,314 454 ₽/м²
"Москва, ЗАО, р-н Проспект Вернадского, м. Проспект Вернадского, улица Лобачевского",17 минут пешком,Проспект Вернадского,Свободная планировка,"2-комн. квартира, 93,6 м², 25/49 этаж",https://www.cian.ru/sale/flat/307143899/,39 500 000 ₽,422 009 ₽/м²
"Москва, ЮЗАО, р-н Южное Бутово, м. Бунинская аллея, Южные Сады ЖК, к2.3",18 минут пешком,Бунинская аллея,"2-комн. квартира, 38,4 м², 23/30 этаж",Секция 7 • Сдача корпуса 2 кв. 2025,https://www.cian.ru/sale/flat/310897426/,11 063 887 ₽,288 122 ₽/м²
"Москва, ЦАО, р-н Тверской, м. Маяковская, Благовещенский переулок, 5",2 минуты пешком,Маяковская,5 минут до Патриарших прудов,"2-комн. квартира, 65 м², 4/8 этаж",https://www.cian.ru/sale/flat/296565916/,39 900 000 ₽,613 846 ₽/м²
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 6/5",9 минут на транспорте,Локомотив,"2-комн. квартира, 57,5 м², 11/31 этаж",Секция 1 • Сдача корпуса 4 кв. 2026,https://www.cian.ru/sale/flat/304688128/,19 250 000 ₽,334 783 ₽/м²
"Москва, ЦАО, р-н Тверской, м. Маяковская, 2-я Брестская улица, 6",5 минут пешком,Маяковская,Лучшие виды на Сити!,"2-комн. апартаменты, 87,71 м², 11/12 этаж",https://www.cian.ru/sale/flat/310738950/,61 460 000 ₽,700 718 ₽/м²
"Москва, ТАО (Троицкий), Троицк, Академик ЖК",Информация отсутствует,Информация отсутствует,"2-комн. квартира, 57,7 м², 2/19 этаж",Секция Позиция № • Сдача корпуса 2 кв. 2026,https://www.cian.ru/sale/flat/300605919/,12 474 740 ₽,216 200 ₽/м²
"Москва, ЗАО, р-н Очаково-Матвеевское, м. Матвеевская, Веерная улица, 26А",9 минут пешком,Матвеевская,"2-комн. квартира, 60,8 м², 12/23 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308690759/,27 500 000 ₽,452 303 ₽/м²
"Москва, ЮАО, р-н Москворечье-Сабурово, м. Борисово, Вэйв ЖК",5 минут на транспорте,Борисово,"2-комн. квартира, 48 м², 2/30 этаж",Секция 1 • Сдача корпуса 4 кв. 2026,https://www.cian.ru/sale/flat/301419726/,17 142 000 ₽,357 125 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Терехово , проезд Проектируемый № 1074, 1",5 минут на транспорте,Терехово ,Высокий видовой этаж,"2-комн. квартира, 67,9 м², 21/23 этаж",https://www.cian.ru/sale/flat/309990547/,33 500 000 ₽,493 373 ₽/м²
"Москва, НАО (Новомосковский), м. Ольховая, Деснаречье ЖК",12 минут на транспорте,Ольховая,"2-комн. квартира, 35,9 м², 11/15 этаж",Секция 9 • Сдача корпуса 4 кв. 2025,https://www.cian.ru/sale/flat/310896592/,9 263 027 ₽,258 023 ₽/м²
